COUNTY AREA TOTAL DEM REP GRN NON
COUNTY AREA TOTAL SINEMA MCSALLY GREEN WRITEIN
Maricopa "0001 ACACIA" 0 1209 891 84 8
Maricopa "0002 ACOMA" 0 757 1305 36 3
Maricopa "0003 ACUNA" 0 1032 167 52 3
Maricopa "0004 ADOBE" 0 590 758 33 4
Maricopa "0005 ADORA" 0 1807 2471 64 8
Maricopa "0006 AGUA FRIA" 0 477 593 31 0
Maricopa "0007 AGUILA" 0 59 151 9 0
Maricopa "0008 AHWATUKEE" 0 1683 1174 47 4
Maricopa "0009 AIRLINE CANAL" 0 738 577 42 2
Maricopa "0010 ALAMO" 0 1290 736 52 6
Maricopa "0011 ALEXANDER" 0 2295 1612 35 6
Maricopa "0012 ALHAMBRA" 0 367 117 21 1
Maricopa "0013 ALPACA" 0 601 833 18 1
Maricopa "0014 ALSUP" 0 160 244 9 1
Maricopa "0015 ALTADENA" 0 364 606 24 1
Maricopa "0016 ALVARADO" 0 556 283 27 1
Maricopa "0017 AMBER" 0 664 541 27 1
Maricopa "0018 ANDERSON" 0 648 585 26 0
Maricopa "0019 ANDORA" 0 866 609 37 2
Maricopa "0020 ANGELA" 0 1327 1532 42 1
Maricopa "0021 ANNETTE" 0 1063 1027 41 2
Maricopa "0022 APACHE" 0 376 493 29 3
Maricopa "0023 APACHE PARK" 0 595 762 31 2
Maricopa "0024 APACHE WELLS" 0 1350 1961 88 4
Maricopa "0025 APPLEBY" 0 1880 1976 56 6
Maricopa "0026 ARBOLEDA" 0 847 1793 45 1
Maricopa "0027 ARCADIA" 0 1344 833 35 1
Maricopa "0028 ARDMORE" 0 1664 496 52 6
Maricopa "0029 ARLINGTON" 0 27 100 3 0
Maricopa "0030 ARROWHEAD RANCH" 0 633 757 16 2
Maricopa "0031 ARTESIAN" 0 923 886 49 4
Maricopa "0032 ASTER" 0 770 938 37 0
Maricopa "0033 ATHENS" 0 804 820 45 1
Maricopa "0034 AUGUSTA" 0 422 242 24 3
Maricopa "0035 AUGUSTA RANCH" 0 864 1181 37 1
Maricopa "0036 AVIANO" 0 1373 1392 25 1
Maricopa "0037 AVONDALE" 0 567 162 30 3
Maricopa "0038 AZTEC SPRINGS" 0 1174 1308 96 3
Maricopa "0039 BALBOA" 0 1575 679 59 5
